title,Obama Donate
Chief of Mission,very high
Chief of Mission,very high
Trustee,very high
Trustee,very high
Trustee,high
Trustee,high
Trustee,high
Trustee,high
Deputy Director,high
Public Delegate,high
Member,high
Chief of Mission,high
Trustee,high
Trustee,high
Chief of Mission,high
Board Member,high
Chief of Mission,high
Chief of Mission,high
Trustee,high
Chief of Mission,high
Chief of Mission,high
Chief Counsel,high
Assistant Secretary,high
Assistant Secretary,high
Under Secretary,high
Chief of Mission,high
Assistant Secretary,high
General Counsel,high
Under Secretary,high
Director,high
Board Member,high
Under Secretary,high
Commission Member,high
Board Member,high
Assistant Administrator,high
Vice Chairman of the Board of Directors,high
Member,high
Chairman,high
Board Member,high
Chief of Mission,high
Director,high
Deputy,medium
Member,medium
Assistant Secretary,medium
Administrator,medium
Under Secretary,medium
Secretary,medium
Member of the Board of Directors,medium
United States Attorney,medium
Assistant Secretary,medium
Deputy Secretary of Energy,medium
Chief of Mission,medium
Chief Agricultural Negotiator,medium
Trustee,medium
Deputy Secretary,medium
Deputy Administrator,medium
Under Secretary,medium
Assistant Attorney General,medium
Federal Co-Chairman,medium
Assistant Secretary,medium
Under Secretary,medium
Council Member,medium
Assistant Secretary,medium
Administrator,medium
Secretary,medium
United States Attorney,medium
United States Attorney,medium
Solicitor,medium
Assistant Secretary,medium
Secretary,medium
Chief of Mission,medium
Chairperson,medium
Chief of Mission,medium
Deputy Secretary,medium
Deputy Administrator,medium
Director,medium
Under Secretary ,medium
Chairman,medium
Representative,medium
United States Marshal,medium
Assistant Attorney General,medium
Ambassador,medium
Secretary,medium
United States Marshal,medium
Chairman,medium
Assistant Secretary,medium
Under Secretary,medium
Commission Member,medium
Assistant Administrator,medium
Parole Commissioner,medium
United States Attorney,medium
Assistant Secretary,medium
Board Member,medium
Deputy Director,medium
Assistant Secretary,medium
Assistant Secretary,medium
Chief of Mission,medium
Chairman,medium
Deputy,medium
United States Attorney,medium
Deputy Secretary,medium
United States Attorney,medium
Commissioner,medium
Secretary,medium
United States Attorney,medium
Governor,medium
Coordinator,medium
Representative,medium
Commissioner,medium
United States Attorney,medium
Chief of Mission,medium
Member,medium
Member,medium
Chief of Mission,medium
Member,medium
Council Member,medium
General Counsel,medium
Executive Vice President,medium
Assistant Secretary ,medium
Assistant Administrator,medium
United States Attorney,medium
Council Member,medium
Commissioner,medium
Board Member,medium
Deputy Director,medium
Representative,medium
United States Attorney,medium
Deputy Administrator,medium
Assistant Secretary,medium
United States Attorney,medium
Chief of Mission,medium
Representative,medium
United States Marshal,medium
Member,medium
United States Attorney,medium
Chief of Mission,medium
Director,medium
Assistant Secretary,medium
Member,medium
United States Attorney,medium
Assistant Secretary,medium
Chief of Mission,medium
United States Attorney,medium
Inspector General,medium
Commissioner,medium
Chairman,low
Assistant Secretary,low
Assistant Secretary,low
General Counsel,low
Deputy Secretary,low
Assistant Secretary,low
Chairman,low
Assistant Secretary,low
United States Attorney,low
Special Counsel,low
Council Member,low
Deputy Director,low
Chief of Mission,low
Assistant Secretary,low
Assistant Administrator,low
Director,low
Deputy Under Secretary,low
Deputy Director,low
Chairman,low
Member,low
Member,low
Chairman,low
Council Member,low
Assistant Secretary,low
Chief Financial Officer,low
Inspector General,low
Ambassador,low
United States Marshal,low
Commissioner,low
Assistant Administrator,low
