title,Total Donate
Trustee,very high
Secretary,very high
Commissioner,very high
Trustee,very high
Trustee,very high
Chief of Mission,very high
Chief of Mission,very high
Trustee,very high
Trustee,very high
Trustee,very high
Member,very high
Member of the Board of Directors,very high
Trustee,very high
Trustee,very high
Chief of Mission,very high
Public Delegate,very high
Chief of Mission,very high
Trustee,very high
Deputy Director,very high
Chief of Mission,very high
Chief of Mission,very high
Chief of Mission,very high
Trustee,very high
Chairperson,very high
Trustee,very high
Board Member,very high
Assistant Secretary,very high
Chief of Mission,very high
Trustee,very high
Chief of Mission,very high
Assistant Secretary,very high
Board Member,very high
Under Secretary,high
Chief of Mission,high
General Counsel,high
Deputy Secretary,high
Chief Counsel,high
Chief of Mission,high
Member,high
Board Member,high
Chief of Mission,high
United States Attorney,high
Under Secretary,high
Secretary,high
Member of the Board of Directors,high
Secretary,high
Assistant Secretary,high
Member,high
Chief of Mission,high
Chairman,high
Director,high
Commission Member,high
Under Secretary,high
Chief of Mission,high
Member,high
Deputy Secretary,high
Chief of Mission,high
United States Attorney,high
Assistant Secretary,high
United States Attorney,high
Board of Governors,high
Assistant Administrator,high
Assistant Administrator,high
Vice Chairman of the Board of Directors,high
United States Attorney,high
Under Secretary,high
Representative,high
Director,high
Federal Co-Chairman,high
Chief Agricultural Negotiator,high
United States Attorney,high
United States Attorney,high
Administrator,high
Deputy Secretary of Energy,high
Board Member,high
United States Attorney,high
Deputy Secretary,high
Trustee,high
Chairman,high
Solicitor,high
Under Secretary,high
Secretary,high
Deputy,high
Chief of Mission,high
Ambassador,high
Deputy Administrator,high
Public Delegate,high
Assistant Attorney General,high
Member of Board,high
Member,high
United States Attorney,high
Assistant Secretary,high
Assistant Secretary,high
Parole Commissioner,high
Member of the Board of Directors,high
United States Attorney,medium
Member,medium
Director,medium
Assistant Secretary,medium
Commissioner,medium
Member,medium
Council Member,medium
Deputy Administrator,medium
Director,medium
Under Secretary,medium
United States Attorney,medium
Assistant Secretary,medium
Representative,medium
Administrator,medium
Under Secretary ,medium
Commissioner,medium
Commissioner,medium
Secretary,medium
Assistant Secretary,medium
United States Attorney,medium
Assistant Secretary,medium
Assistant Secretary,medium
United States Attorney,medium
Board Member,medium
United States Attorney,medium
Member,medium
Assistant Secretary,medium
Council Member,medium
United States Attorney,medium
Member,medium
Chief of Mission,medium
Commissioner,medium
Board Member,medium
United States Marshal,medium
Chief of Mission,medium
United States Marshal,medium
United States Marshal,medium
Member,medium
Assistant Attorney General,medium
Member,medium
Chairman,medium
Commission Member,medium
Assistant Secretary,medium
Member,medium
Board Member,medium
United States Marshal,medium
Assistant Secretary,medium
Secretary,medium
Member,medium
Chief of Mission,medium
Commissioner,medium
Under Secretary,medium
Member,medium
Council Member,medium
United States Attorney,medium
Deputy Administrator,medium
Chief of Mission,medium
United States Attorney,medium
Deputy Director,medium
United States Marshal,medium
Member,medium
United States Attorney,medium
Chief of Mission,medium
Chairman,medium
United States Attorney,medium
Chairman,medium
Deputy,medium
Deputy Director,medium
Member,medium
General Counsel,medium
Chief of Protocol,medium
Governor,medium
Coordinator,medium
United States Attorney,medium
Special Counsel,medium
Chairman,medium
Representative,medium
Assistant Administrator,medium
Executive Vice President,medium
Chief of Mission,medium
Member,medium
Board of Governors,medium
Council Member,medium
Federal Co-Chairman,medium
Under Secretary,medium
Member,medium
Assistant Secretary ,medium
Commissioner,medium
United States Marshal,medium
Representative,medium
Commissioner Member,medium
Board Member,medium
United States Marshal,medium
Council Member,medium
Member,medium
Commissioner,medium
Inspector General,medium
Commissioner,medium
United States Attorney,medium
Chairman,medium
Assistant Secretary,medium
Inspector General,medium
Parole Commissioner,medium
Chief of Mission,medium
United States Marshal,medium
United States Marshal,medium
General Counsel,medium
Member,medium
United States Marshal,medium
Commissioner,medium
Trustee,medium
Deputy Director,medium
Deputy Director,medium
Assistant Secretary,medium
United States Attorney,medium
Inspector General,medium
Commissioner,medium
Inspector General,medium
Chief of Mission,low
Federal Co-Chairperson,low
Assistant Secretary,low
Chief of Mission,low
United States Marshal,low
Deputy Secretary,low
Assistant Secretary,low
Assistant Secretary,low
Member of the Board of Directors,low
Member,low
United States Marshal,low
Member,low
Member,low
Commissioner,low
Assistant Secretary,low
Chairman,low
United States Marshal,low
Member,low
Assistant Secretary,low
Assistant Administrator,low
Member of the Board of Directors,low
Member,low
Director,low
Director,low
Deputy Under Secretary,low
Member,low
Chief of Mission,low
Assistant Secretary,low
United States Attorney,low
Archivist of the United States,low
Chairman,low
Deputy Director,low
Special Inspector General,low
United States Attorney,low
Assistant Secretary of the Army,low
Ambassador,low
Chief of Mission,low
Commissioner,low
Member,low
Council Member,low
Assistant Secretary,low
General Counsel,low
Assistant Attorney General,low
Chief Financial Officer,low
Board Member,low
Commissioner,low
Librarian of Congress,low
Inspector General,low
United States Marshal,low
Commissioner,low
Chief of Mission,low
Commissioner Member,low
Assistant Administrator,low
Member,low
United States Marshal,low
United States Marshal,low
United States Marshal,low
Chairman,low
Member,low
